,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
Rt,0.8920214,1.3851289,0.7611376,0.5886601,0.6513435,2.8054051,18.51244,0.0,0.0,0.0,0.0,0.0,18.520597,0.0,0.0,0.0,0.0,0.0,0.0,17.770256,0.0,0.0,0.0,0.0,1.8437641,1.9710972,0.0,1.5803223,0.0,0.43126407,0.0,0.63874346,0.4878027,0.091642626,0.86326885,1.2449445,1.4501308,3.5786784,1.1320683,0.33714414,0.55633444,0.9596759,1.1833925,4.5321765,3.6087434,1.5483925,0.0,0.630032,1.8953884,0.5764469,0.8478983,7.105405,3.467866
pop,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,66878,65721,65721,65721,65721,65721
tempmin,17.4735571428571,18.2675571428571,22.3365666666667,20.1893714285714,17.893,19.5413714285714,15.7081142857143,19.4481142857143,16.5377285714286,17.2172857142857,16.4952142857143,14.4921285714286,13.4774142857143,12.5262857142857,14.1876714285714,18.2479428571429,12.4597142857143,14.3771857142857,8.57212857142857,11.0499285714286,10.9722285714286,13.7017571428571,13.2170428571429,13.5439285714286,9.69165714285714,10.7900428571429,13.5949857142857,14.2765714285714,11.2472857142857,9.52707142857143,14.5156142857143,13.875,15.695652173913,12.0,14.6,19.125,15.2692307692308,13.7142857142857,17.2857142857143,16.5714285714286,18.9565217391304,21.75,24.0,23.5714285714286,22.5294117647059,18.7272727272727,22.7777777777778,24.7142857142857,24.0,24.8571428571429,24.4285714285714,20.2857142857143,19.4285714285714
umidmax,95.3585285714286,93.1922142857143,93.3029333333333,92.2165285714286,94.9698,93.7568285714286,95.0081285714286,97.8422142857143,91.6123571428571,94.1960428571429,94.7898428571429,93.7378,97.1616571428571,96.8641,97.2970142857143,93.1310857142857,94.0809428571429,95.6872428571428,93.1686857142857,94.2374857142857,90.1917857142857,96.0724714285714,95.6081428571429,92.7758714285714,91.1611285714286,97.4357571428571,95.3659571428571,90.2907,94.3663,94.7411285714286,90.8984571428571,92.401263,97.6069292173913,94.3615415789474,94.3604013333333,94.84264475,96.7149884615385,93.8526957142857,93.964072,93.094202,88.0890284347826,91.9307875833333,90.0315375,91.1838564285714,86.7190882352941,94.2634195454545,85.9382597777778,74.8175768571429,88.4943342857143,81.1892472857143,79.86877,86.8938195714286,94.8517742857143
receptivo,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
transmissao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nivel_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
umidmed,79.5666428571429,75.5418,80.3604166666667,77.2633428571429,84.8908333333333,81.1900571428571,74.0035285714286,93.2912428571429,75.8586142857143,85.2990857142857,82.4033,83.1336285714286,84.6207428571429,83.5152,90.5808571428571,83.7885571428571,80.0076285714286,88.9408428571429,76.6575428571429,77.7125285714286,72.5399857142857,80.7733,84.4143285714286,83.0691285714286,79.7807857142857,91.0330428571429,86.6009857142857,79.8915142857143,85.5806714285714,88.0743285714286,78.0751428571429,89.12533525,84.225142173913,83.0109277894737,89.818026,93.022592375,76.8502429230769,71.8078585714286,71.9851208571429,72.4154744285714,76.9286836521739,77.116741,87.24508125,89.755615,84.6427567058823,77.6589684545455,84.5537757777778,74.8175768571429,80.9038507142857,81.1892472857143,79.86877,66.4495465714286,65.3131172857143
umidmin,63.0441857142857,55.4215428571429,62.3990166666667,56.4049571428571,71.7283,64.0846857142857,49.3998142857143,86.1441714285714,57.1034714285714,72.5880428571429,64.8137571428571,70.2605142857143,67.8035285714286,64.9648571428571,81.3201857142857,70.7282,57.5632,78.8604,52.0916,56.0028571428571,47.3775428571429,61.0393285714286,64.6007571428571,67.8463,59.7265571428571,79.6377428571429,70.8687428571429,66.0138428571429,70.2852,77.7997142857143,58.0699428571429,85.88225125,68.2594165217391,69.7252610526316,84.0810183333333,91.9501955,53.4067908846154,47.9621347142857,50.5066754285714,54.2802264285714,66.399981826087,62.816179,84.72497625,88.0669414285714,82.5910630588235,60.3537446363636,83.1692933333333,74.8175768571429,73.9255085714286,81.1892472857143,79.86877,48.227134,43.3693377142857
tempmed,22.0455285714286,22.7096285714286,25.9247833333333,24.6374,20.8000833333333,23.3514142857143,20.5748,20.8931285714286,20.9312,19.4351714285714,20.0138714285714,17.9685,16.3816571428571,16.0919857142857,16.4592571428571,21.6883,16.7953285714286,16.8059857142857,14.0368428571429,15.5661142857143,16.1008714285714,17.1820571428571,17.2313857142857,15.8922428571429,13.2145714285714,13.2059571428571,16.3350857142857,17.2366,14.2385,11.4751285714286,18.4942428571429,14.3125,19.7236839130435,15.7503611578947,16.3157894,19.375,20.3552633076923,18.8571424285714,22.962406,21.6165415714286,21.4980931304348,25.6030701666667,24.35416675,23.904762,22.9411764705882,22.4114831818182,23.1111111111111,24.7142857142857,25.5864661428571,24.8571428571429,24.4285714285714,25.819549,25.691729
tempmax,27.2337,27.7050857142857,30.5667333333333,30.5270142857143,24.4255666666667,28.5153714285714,26.6341714285714,22.6977428571429,27.0220571428571,22.2632428571429,24.5879571428571,21.9774142857143,20.2077285714286,20.7028285714286,19.0685428571429,26.4513142857143,23.0561571428571,19.7164285714286,21.1079714285714,21.1674142857143,23.1843285714286,21.4080714285714,23.3509,19.4610428571429,18.9296285714286,16.6753142857143,20.7927285714286,21.0817428571429,18.9518285714286,14.1233,24.3895714285714,14.875,23.4347826086957,19.0,17.8,19.5,25.1923076923077,23.5714285714286,28.4285714285714,25.7142857142857,23.5652173913043,29.3333333333333,24.75,24.2857142857143,23.3529411764706,26.2727272727273,23.4444444444444,24.7142857142857,27.0,24.8571428571429,24.4285714285714,30.7142857142857,30.7142857142857
casprov,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
casprov_est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notif_accum_year,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
