,data_iniSE,casos_est,casos,nivel,pop,receptivo,transmissao,umidmed,tempmed,casprov,city
0,2012-12,0.0,0.0,1.0,58858.0,0.0,0.0,88.0,22.0,,Parobé
1,2013-01,0.0,0.0,1.0,58858.0,0.0,0.0,61.07719763571428,25.25012012142855,,Parobé
2,2013-02,0.0,0.0,1.0,58858.0,0.0,0.0,67.72126100000003,25.267167857142823,,Parobé
3,2013-03,0.0,0.0,1.0,58858.0,0.0,0.0,71.41398534285713,22.135144257142876,,Parobé
4,2013-04,0.0,0.0,1.0,58858.0,0.0,0.0,73.32076296428572,19.907150071428575,,Parobé
5,2013-05,0.0,0.0,1.0,58858.0,0.0,0.0,84.79669566964284,13.576901705357148,,Parobé
6,2013-06,0.0,0.0,1.0,58858.0,0.0,0.0,68.33333333333333,13.75,,Parobé
7,2013-07,0.0,0.0,1.0,58858.0,0.0,0.0,79.97297089285712,15.541647217857125,,Parobé
8,2013-08,0.0,0.0,1.0,58858.0,0.0,0.0,81.76111864285713,14.76382207142855,,Parobé
9,2013-09,0.0,0.0,1.0,58858.0,0.0,0.0,78.09651997142856,19.23346462857142,,Parobé
10,2013-10,0.0,0.0,1.0,58858.0,0.0,0.0,75.0196797142857,21.913229107142875,,Parobé
11,2013-11,0.0,0.0,1.0,58858.0,0.0,0.0,66.80982095714285,25.516806210714275,,Parobé
12,2013-12,0.0,0.0,1.0,58858.0,0.0,0.0,38.33888906666667,31.0388888,,Parobé
13,2014-01,0.0,0.0,1.0,58858.0,0.0,0.0,25.3333333333333,26.25,,Parobé
14,2014-02,0.0,0.0,1.0,58858.0,0.0,0.0,44.333334,28.333333,,Parobé
15,2014-03,0.0,0.0,1.0,58858.0,0.0,0.0,65.32496982142857,23.424547764285723,,Parobé
16,2014-04,0.0,0.0,1.0,58858.0,0.0,0.0,81.28791774999999,19.406373714285724,,Parobé
17,2014-05,0.0,0.0,1.0,58858.0,0.0,0.0,89.0645837142857,15.458432928571451,,Parobé
18,2014-06,0.0,0.0,1.0,58858.0,0.0,0.0,91.93544274285713,14.411548071428541,,Parobé
19,2014-07,0.0,0.0,1.0,58858.0,0.0,0.0,87.04370596428572,14.190450285714299,,Parobé
20,2014-08,0.0,0.0,1.0,58858.0,0.0,0.0,81.93842254285714,15.110148114285717,,Parobé
21,2014-09,0.0,0.0,1.0,58858.0,0.0,0.0,81.54378989285718,18.46170239285715,,Parobé
22,2014-10,0.0,0.0,1.0,58858.0,0.0,0.0,78.00723878571426,21.901879464285727,,Parobé
23,2014-11,0.0,0.0,1.0,58858.0,0.0,0.0,71.30548719999999,23.80952311428572,,Parobé
24,2014-12,0.0,0.0,1.0,58858.0,0.0,0.0,75.09590128571428,24.699228749999975,,Parobé
25,2015-01,0.0,0.0,1.0,58858.0,0.0,0.0,76.17060367857142,26.074294785714276,,Parobé
26,2015-02,0.0,0.0,1.0,58858.0,0.0,0.0,78.0694615357143,25.066216428571423,,Parobé
27,2015-03,0.2,0.2,1.0,58858.0,0.2,0.0,75.22948405714286,24.194580399999982,,Parobé
28,2015-04,0.0,0.0,1.0,58858.0,0.0,0.0,80.36479896428573,20.695674642857124,,Parobé
29,2015-05,0.2,0.2,1.0,58858.0,0.0,0.0,84.94237874285714,18.01926105714286,,Parobé
30,2015-06,0.0,0.0,1.0,58858.0,0.0,0.0,84.4216349642857,15.019079571428573,,Parobé
31,2015-07,0.0,0.0,1.0,58858.0,0.0,0.0,90.8484623214286,15.976923249999976,,Parobé
