,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
Rt,8.548401,0.0,0.0,0.0,0.8451105,2.491014,1.8589696,2.207831,0.0,18.42924,0.0,0.0,0.0,0.0,0.0,3.3536975,12.337551,0.0,0.0,0.0,2.2065196,0.0,6.0044537,0.0,0.0,0.0,1.2999897,0.534719,0.4965576,1.001381,0.2165796,0.3889429,1.3614753,1.8175876,1.6398464,1.6510122,0.33599833,0.81290156,0.50422454,1.4751348,1.8589696,18.521618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23791,0.0
pop,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21453,21453,21453,21453,21453
tempmin,19.4251714285714,19.5962,22.61085,20.8594857142857,18.9145166666667,19.8555714285714,16.6746714285714,19.6575857142857,16.9136428571429,17.8502285714286,17.0716714285714,15.8612142857143,14.6420285714286,13.8174142857143,15.1214142857143,18.3362285714286,13.4426428571429,15.1121571428571,10.2713285714286,12.5038,11.7549142857143,14.6727285714286,13.8657714285714,13.6046571428571,10.3171571428571,12.3680857142857,14.3148142857143,14.8591714285714,12.3162714285714,11.3569714285714,14.9501571428571,13.875,15.695652173913,12.0,14.6,19.125,15.2692307692308,13.7142857142857,17.2857142857143,16.5714285714286,18.9565217391304,21.75,24.0,23.5714285714286,22.5294117647059,18.7272727272727,22.7777777777778,24.7142857142857,24.0,24.8571428571429,24.4285714285714,20.2857142857143,19.4285714285714
umidmax,92.0229857142857,89.2006428571429,94.04985,91.1262857142857,92.6064166666667,91.8320428571429,93.1675428571429,97.4567857142857,89.8707142857143,93.3041571428571,92.4870714285714,89.2111285714286,94.3158142857143,93.4596142857143,94.0771428571429,94.1043,93.1422571428571,94.9499714285714,91.2355428571429,91.6040285714286,89.8008142857143,93.8803142857143,93.8319142857143,93.1949,90.5659142857143,95.1483857142857,94.6755857142857,91.2722,91.7727,91.5734714285714,89.9993,92.401263,97.6069292173913,94.3615415789474,94.3604013333333,94.84264475,96.7149884615385,93.8526957142857,93.964072,93.094202,88.0890284347826,91.9307875833333,90.0315375,91.1838564285714,86.7190882352941,94.2634195454545,85.9382597777778,74.8175768571429,88.4943342857143,81.1892472857143,79.86877,86.8938195714286,94.8517742857143
receptivo,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
transmissao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nivel_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
umidmed,80.8284142857143,75.9474571428571,81.9132166666667,79.3501428571429,84.44345,83.3687428571429,74.5923285714286,92.6455428571429,78.3214285714286,85.7251571428571,82.1543428571429,81.3693,84.6426571428571,82.7707,89.3359714285714,85.9567428571429,82.5516,88.5489857142857,77.2300714285714,77.8786,75.2598428571429,79.6322857142857,84.6398428571429,83.8925571428571,79.7669714285714,88.7732285714286,86.9723,79.6207,84.5626571428571,84.8656857142857,78.1138571428571,89.12533525,84.225142173913,83.0109277894737,89.818026,93.022592375,76.8502429230769,71.8078585714286,71.9851208571429,72.4154744285714,76.9286836521739,77.116741,87.24508125,89.755615,84.6427567058823,77.6589684545455,84.5537757777778,74.8175768571429,80.9038507142857,81.1892472857143,79.86877,66.4495465714286,65.3131172857143
umidmin,68.3291142857143,59.2080857142857,64.98745,61.4621571428571,74.2863166666667,71.0077285714286,53.7680571428571,85.7817285714286,64.0875,75.2547142857143,68.1929,72.2148857142857,71.3328714285714,65.8771857142857,82.0882428571429,74.1147571428571,64.3978,79.9590857142857,54.0484428571429,57.1771,51.5508285714286,60.9921285714286,67.5360142857143,67.8712428571429,61.1151142857143,77.5414714285714,72.6847857142857,64.6543428571429,71.8270857142857,75.5372428571429,58.7317,85.88225125,68.2594165217391,69.7252610526316,84.0810183333333,91.9501955,53.4067908846154,47.9621347142857,50.5066754285714,54.2802264285714,66.399981826087,62.816179,84.72497625,88.0669414285714,82.5910630588235,60.3537446363636,83.1692933333333,74.8175768571429,73.9255085714286,81.1892472857143,79.86877,48.227134,43.3693377142857
tempmed,21.8683142857143,22.5872142857143,25.4519,24.0678142857143,20.9049166666667,22.4095571428571,20.3976285714286,21.0278571428571,20.0285571428571,19.4228857142857,19.6528571428571,17.9010714285714,16.5812428571429,16.4136428571429,16.8327285714286,20.8523428571429,16.9851285714286,16.7290285714286,14.5726714285714,15.9648857142857,16.1425285714286,17.4719857142857,17.1635714285714,16.0836428571429,13.6065428571429,14.2354,16.6634285714286,17.5135142857143,14.7576571428571,13.0371,18.6505857142857,14.3125,19.7236839130435,15.7503611578947,16.3157894,19.375,20.3552633076923,18.8571424285714,22.962406,21.6165415714286,21.4980931304348,25.6030701666667,24.35416675,23.904762,22.9411764705882,22.4114831818182,23.1111111111111,24.7142857142857,25.5864661428571,24.8571428571429,24.4285714285714,25.819549,25.691729
tempmax,25.0680857142857,26.3816857142857,29.3050833333333,28.7369142857143,23.18275,26.0307,25.0106,22.5552428571429,24.2276142857143,21.6182428571429,23.0947142857143,20.5183571428571,19.2835428571429,20.1196428571429,18.607,24.3006,21.7893857142857,18.7340428571429,20.0584428571429,20.6967571428571,22.0230285714286,20.9248714285714,22.0810571428571,19.5722,18.2395428571429,16.8891,20.2384571428571,21.4240714285714,18.6383428571429,15.2952857142857,24.0097857142857,14.875,23.4347826086957,19.0,17.8,19.5,25.1923076923077,23.5714285714286,28.4285714285714,25.7142857142857,23.5652173913043,29.3333333333333,24.75,24.2857142857143,23.3529411764706,26.2727272727273,23.4444444444444,24.7142857142857,27.0,24.8571428571429,24.4285714285714,30.7142857142857,30.7142857142857
casprov,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
casprov_est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notif_accum_year,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
