,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
Rt,0.0,0.0,3.3788157,0.0,0.0,18.521618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05214,0.0,0.7193005,0.98601735,0.0,0.73257655,0.3145583,0.45017186,0.5310997,1.3698522,1.6870247,1.3388085,1.6175354,1.0813043,0.6615089,0.47968248,1.4566594,2.672251,1.2392102,10.519886,0.0,0.0,2.207831,0.0,18.521618,0.0,0.0
pop,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,36410.0,37561.0,37561.0,37561.0,37561.0,37561.0
tempmin,17.3062571428571,18.0777428571429,22.1642666666667,20.0007857142857,17.7966666666667,19.2147857142857,15.5192,19.4132857142857,16.1975571428571,17.0073,16.3709857142857,14.4971857142857,13.1968571428571,12.5491285714286,14.1803857142857,18.1838428571429,12.4960142857143,14.3876857142857,8.18675714285714,10.8980428571429,10.5903428571429,13.5459571428571,12.8988142857143,13.3371285714286,9.39925714285714,10.7671857142857,13.2235285714286,13.9436714285714,11.0171428571429,9.44957142857143,13.9356285714286,13.875,15.695652173913,12.0,14.6,19.125,15.2692307692308,13.7142857142857,17.2857142857143,16.5714285714286,18.9565217391304,21.75,24.0,23.5714285714286,22.5294117647059,18.7272727272727,22.7777777777778,24.7142857142857,24.0,24.8571428571429,24.4285714285714,20.2857142857143,19.4285714285714
umidmax,95.0834285714286,93.3544,92.8376,91.8496,95.0096666666667,92.7894714285714,95.2172428571428,97.9891428571429,91.8459142857143,94.5177428571429,94.3771285714286,93.3329857142857,97.6675428571429,96.7910285714286,97.1160142857143,93.4356571428571,94.2236142857143,95.6750857142857,93.4529,94.6444714285714,91.1317285714286,95.9267142857143,95.8370571428571,93.0232428571429,91.4236571428571,97.1246285714286,95.7389142857143,90.5343857142857,94.0479,95.5415428571429,91.1807285714286,92.401263,97.6069292173913,94.3615415789474,94.3604013333333,94.84264475,96.7149884615385,93.8526957142857,93.964072,93.094202,88.0890284347826,91.9307875833333,90.0315375,91.1838564285714,86.7190882352941,94.2634195454545,85.9382597777778,74.8175768571429,88.4943342857143,81.1892472857143,79.86877,86.8938195714286,94.8517742857143
receptivo,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0
transmissao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
nivel_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
umidmed,79.7070428571429,76.1936857142857,79.7241833333333,77.4471571428571,85.1045,81.3683,74.5185714285714,93.5294571428571,76.3635285714286,85.5696571428571,82.5173285714286,82.9811285714286,85.2962285714286,84.0471714285714,90.8423714285714,84.3786857142857,80.8316142857143,88.7202571428572,77.1483714285714,78.2497285714286,73.6636571428571,81.0740142857143,84.7493571428571,83.0631142857143,80.0319142857143,91.0425428571429,87.1125,80.1720857142857,85.4820857142857,89.0384857142857,79.0905,89.12533525,84.225142173913,83.0109277894737,89.818026,93.022592375,76.8502429230769,71.8078585714286,71.9851208571429,72.4154744285714,76.9286836521739,77.116741,87.24508125,89.755615,84.6427567058823,77.6589684545455,84.5537757777778,74.8175768571429,80.9038507142857,81.1892472857143,79.86877,66.4495465714286,65.3131172857143
umidmin,63.2849285714286,56.3751857142857,60.7976833333333,56.0379714285714,71.8392666666667,64.5296857142857,49.5706714285714,86.6235285714286,57.4233857142857,73.0477428571429,65.1677,70.5146,68.9293285714286,65.3682571428571,82.0672714285714,70.3271857142857,58.6676571428571,78.1158857142857,51.8051428571429,56.0924142857143,47.1522428571429,61.1322285714286,64.4996142857143,66.8804714285714,59.1222571428571,79.1625571428571,71.0674428571429,65.0850285714286,70.2552142857143,78.6441285714286,58.5987285714286,85.88225125,68.2594165217391,69.7252610526316,84.0810183333333,91.9501955,53.4067908846154,47.9621347142857,50.5066754285714,54.2802264285714,66.399981826087,62.816179,84.72497625,88.0669414285714,82.5910630588235,60.3537446363636,83.1692933333333,74.8175768571429,73.9255085714286,81.1892472857143,79.86877,48.227134,43.3693377142857
tempmed,21.7827857142857,22.3897,25.8604,24.4456571428571,20.6834166666667,23.0915285714286,20.3299571428571,20.8383571428571,20.7443,19.2549428571429,19.8589,17.9168571428571,16.1628,16.0314142857143,16.4210571428571,21.5037571428571,16.7496571428571,16.7745285714286,13.7744857142857,15.4004,15.8254428571429,17.0021285714286,16.9826142857143,15.8333571428571,13.0947142857143,13.1937285714286,16.0674,17.0431714285714,14.0953571428571,11.4190285714286,18.0510857142857,14.3125,19.7236839130435,15.7503611578947,16.3157894,19.375,20.3552633076923,18.8571424285714,22.962406,21.6165415714286,21.4980931304348,25.6030701666667,24.35416675,23.904762,22.9411764705882,22.4114831818182,23.1111111111111,24.7142857142857,25.5864661428571,24.8571428571429,24.4285714285714,25.819549,25.691729
tempmax,26.8370428571429,27.2818428571429,30.5120833333333,30.3969142857143,24.1980333333333,28.2291714285714,26.2878571428571,22.6749,26.7983428571429,22.0864714285714,24.3136285714286,21.7611714285714,19.9861142857143,20.7118571428571,19.0849,26.3940142857143,22.9032714285714,19.7654142857143,20.9983714285714,20.9666714285714,23.1208,21.1502285714286,23.2026857142857,19.5081428571429,18.9890428571429,16.7390142857143,20.6143142857143,21.1378428571429,18.91,14.0931714285714,24.1647,14.875,23.4347826086957,19.0,17.8,19.5,25.1923076923077,23.5714285714286,28.4285714285714,25.7142857142857,23.5652173913043,29.3333333333333,24.75,24.2857142857143,23.3529411764706,26.2727272727273,23.4444444444444,24.7142857142857,27.0,24.8571428571429,24.4285714285714,30.7142857142857,30.7142857142857
casprov,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
casprov_est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notif_accum_year,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
