,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
id,431990120240119884,431990120235219884,431990120235119884,431990120235019884,431990120234919884,431990120234819884,431990120234719884,431990120234619884,431990120234519884,431990120234419884,431990120234319884,431990120234219884,431990120234119884,431990120234019884,431990120233919884,431990120233819884,431990120233719884,431990120233619884,431990120233519884,431990120233419884,431990120233319884,431990120233219884,431990120233119884,431990120233019884,431990120232919884,431990120232819884,431990120232719884,431990120232619884,431990120232519884,431990120232419884,431990120232319884,431990120232219877,431990120232119870,431990120232019863,431990120231919856,431990120231819849,431990120231719842,431990120231619835,431990120231519828,431990120231419821,431990120231319815,431990120231219809,431990120231119801,431990120231019795,431990120230919787,431990120230819780,431990120230719774,431990120230619768,431990120230519760,431990120230419752,431990120230319748,431990120230219748,431990120230119741
versao_modelo,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-10,2024-06-03,2024-05-27,2024-05-20,2024-05-13,2024-05-06,2024-04-29,2024-04-22,2024-04-15,2024-04-08,2024-04-02,2024-03-27,2024-03-19,2024-03-13,2024-03-05,2024-02-27,2024-02-21,2024-02-15,2024-02-07,2024-01-30,2024-01-26,2024-01-26,2024-01-19
tweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rt,13.603528,0.0,0.0,0.0,1.0673786,1.4390477,3.3787987,18.475311,0.0,0.0,0.0,0.0,0.0,0.9569438,0.84491724,0.8643266,1.1149676,1.812113,0.0,0.5718772,1.0958704,0.9803309,0.5867921,2.1908562,0.91366863,0.0,0.33764216,0.5111612,0.5398634,0.86700827,0.49024016,0.663519,0.66051936,0.5693655,1.0838044,0.9114322,0.8552303,1.8360411,1.6465539,1.2433699,1.084196,0.9178591,1.3500963,2.1155117,1.1919377,2.5718184,2.1320918,2.6536515,1.3044345,0.5590068,0.70149904,3.4641583,1.526604
pop,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,75613,80037,80037,80037,80037,80037
tempmin,18.7157857142857,18.9331142857143,22.9372,20.7764857142857,18.77635,19.622,16.0674571428571,19.8197,16.6627571428571,17.8452285714286,16.9673428571429,15.4859714285714,13.7800428571429,13.4065285714286,14.8804142857143,18.4397714285714,12.9007,14.9232428571429,8.99485714285714,11.4950428571429,10.8306285714286,14.2594571428571,13.1066428571429,13.6650714285714,9.26992857142857,11.7106571428571,13.6613857142857,14.3714285714286,11.4716571428571,10.3862142857143,14.2217714285714,13.875,15.695652173913,12.0,14.6,19.125,15.2692307692308,13.7142857142857,17.2857142857143,16.5714285714286,18.9565217391304,21.75,24.0,23.5714285714286,22.5294117647059,18.7272727272727,22.7777777777778,24.7142857142857,24.0,24.8571428571429,24.4285714285714,20.2857142857143,19.4285714285714
umidmax,93.4436714285714,90.8445571428571,92.4412666666667,91.2383857142857,92.6512833333333,92.0775571428571,94.3007,97.4648857142857,92.0228,93.1683142857143,93.2334714285714,90.4539714285714,95.9473571428571,94.7941857142857,95.8366285714286,93.7254,93.9913571428571,95.0585428571429,93.8415428571429,92.9371142857143,91.0684714285714,94.6874714285714,95.9474,93.1298428571429,92.3416142857143,96.1100857142857,95.3201857142857,90.5800714285714,93.7151,93.1048857142857,91.5460142857143,92.401263,97.6069292173913,94.3615415789474,94.3604013333333,94.84264475,96.7149884615385,93.8526957142857,93.964072,93.094202,88.0890284347826,91.9307875833333,90.0315375,91.1838564285714,86.7190882352941,94.2634195454545,85.9382597777778,74.8175768571429,88.4943342857143,81.1892472857143,79.86877,86.8938195714286,94.8517742857143
receptivo,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
transmissao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
nivel_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0
