,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
Rt,18.521618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.521618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419119,0.9284123,1.0911067,0.69853574,1.7177454,1.5197113,1.7560574,0.98259723,1.5434184,3.9560633,1.0090822,0.0,1.009217,3.378052,2.1864371,0.0,3.3788157,0.0,0.0,17.077478
pop,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,5771,5771,5771,5771,5771
tempmin,17.3062571428571,18.0777428571429,22.1642666666667,20.0007857142857,17.7966666666667,19.2147714285714,15.5192,19.4133,16.1975714285714,17.0073,16.3709857142857,14.4971857142857,13.1968285714286,12.5491428571429,14.1803857142857,18.1838428571429,12.4960142857143,14.3876714285714,8.18675714285714,10.8980428571429,10.5903285714286,13.5459285714286,12.8988,13.3371285714286,9.39924285714286,10.7671857142857,13.2235285714286,13.9436714285714,11.0171428571429,9.44957142857143,13.9356285714286,13.875,15.695652173913,12.0,14.6,19.125,15.2692307692308,13.7142857142857,17.2857142857143,16.5714285714286,18.9565217391304,21.75,24.0,23.5714285714286,22.5294117647059,18.7272727272727,22.7777777777778,24.7142857142857,24.0,24.8571428571429,24.4285714285714,20.2857142857143,19.4285714285714
umidmax,95.0833428571429,93.3544,92.83765,91.8496285714286,95.0096666666667,92.7894285714286,95.2172571428571,97.9892,91.8458428571429,94.5178,94.3771,93.3329714285714,97.6675428571429,96.7909714285714,97.1159857142857,93.4356714285714,94.2235571428571,95.6751571428571,93.4528714285714,94.6444285714286,91.1316714285714,95.9268285714286,95.8370857142857,93.0232,91.4236285714286,97.1244285714286,95.7389,90.5343857142857,94.0478714285714,95.5415142857143,91.1808142857143,92.401263,97.6069292173913,94.3615415789474,94.3604013333333,94.84264475,96.7149884615385,93.8526957142857,93.964072,93.094202,88.0890284347826,91.9307875833333,90.0315375,91.1838564285714,86.7190882352941,94.2634195454545,85.9382597777778,74.8175768571429,88.4943342857143,81.1892472857143,79.86877,86.8938195714286,94.8517742857143
receptivo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1
transmissao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nivel_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umidmed,79.7070142857143,76.1937,79.7242166666667,77.4471571428571,85.1045,81.3682714285714,74.5186142857143,93.5294714285714,76.3635285714286,85.5696428571429,82.5173285714286,82.9811,85.2962285714286,84.0471428571429,90.8423857142857,84.3787142857143,80.8315857142857,88.7203,77.1483857142857,78.2497285714286,73.6636571428571,81.0740142857143,84.7493714285714,83.0631142857143,80.0319428571429,91.0425857142857,87.1124857142857,80.1720857142857,85.4820571428571,89.0385,79.0905428571429,89.12533525,84.225142173913,83.0109277894737,89.818026,93.022592375,76.8502429230769,71.8078585714286,71.9851208571429,72.4154744285714,76.9286836521739,77.116741,87.24508125,89.755615,84.6427567058823,77.6589684545455,84.5537757777778,74.8175768571429,80.9038507142857,81.1892472857143,79.86877,66.4495465714286,65.3131172857143
umidmin,63.2849285714286,56.3751857142857,60.79775,56.0379428571429,71.8392833333333,64.5296714285714,49.5706571428571,86.6234857142857,57.4234,73.0477,65.1677,70.5146428571429,68.9293428571429,65.3682428571429,82.0672428571429,70.3272142857143,58.6676857142857,78.1158428571429,51.8051142857143,56.0923428571429,47.1522142857143,61.1322142857143,64.4995857142857,66.8804571428571,59.1222714285714,79.1626285714286,71.0675,65.0850857142857,70.2551571428571,78.6441,58.5987142857143,85.88225125,68.2594165217391,69.7252610526316,84.0810183333333,91.9501955,53.4067908846154,47.9621347142857,50.5066754285714,54.2802264285714,66.399981826087,62.816179,84.72497625,88.0669414285714,82.5910630588235,60.3537446363636,83.1692933333333,74.8175768571429,73.9255085714286,81.1892472857143,79.86877,48.227134,43.3693377142857
tempmed,21.7827714285714,22.3897,25.8604,24.4456428571429,20.6834166666667,23.0915285714286,20.3299571428571,20.8383571428571,20.7443,19.2549428571429,19.8588857142857,17.9168571428571,16.1628142857143,16.0314142857143,16.4210571428571,21.5037571428571,16.7496571428571,16.7745285714286,13.7744714285714,15.4004,15.8254285714286,17.0021285714286,16.9826142857143,15.8333571428571,13.0947142857143,13.1937285714286,16.0673714285714,17.0431714285714,14.0953714285714,11.4190285714286,18.0510857142857,14.3125,19.7236839130435,15.7503611578947,16.3157894,19.375,20.3552633076923,18.8571424285714,22.962406,21.6165415714286,21.4980931304348,25.6030701666667,24.35416675,23.904762,22.9411764705882,22.4114831818182,23.1111111111111,24.7142857142857,25.5864661428571,24.8571428571429,24.4285714285714,25.819549,25.691729
tempmax,26.8370428571429,27.2818428571429,30.5120666666667,30.3969142857143,24.1980333333333,28.2291714285714,26.2878571428571,22.6749,26.7983428571429,22.0864857142857,24.3136142857143,21.7611714285714,19.9861,20.7118285714286,19.0849142857143,26.3939857142857,22.9032714285714,19.7654,20.9983857142857,20.9666714285714,23.1208,21.1502285714286,23.2026857142857,19.5081285714286,18.9890428571429,16.7390142857143,20.6143,21.1378428571429,18.9099857142857,14.0931857142857,24.1647,14.875,23.4347826086957,19.0,17.8,19.5,25.1923076923077,23.5714285714286,28.4285714285714,25.7142857142857,23.5652173913043,29.3333333333333,24.75,24.2857142857143,23.3529411764706,26.2727272727273,23.4444444444444,24.7142857142857,27.0,24.8571428571429,24.4285714285714,30.7142857142857,30.7142857142857
casprov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
casprov_est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notif_accum_year,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
