,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
Rt,18.521618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.383898,0.0,0.0,0.0,0.0,0.0,2.027104,1.1152488,0.0,3.1262915,2.072839,0.0,0.52738094,0.9294848,8.734843,0.0,0.0,9.260808,0.0,0.0,0.0,8.895706,0.0,0.0,0.0,3.3788157,18.521618
pop,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,7653,8204,8204,8204,8204,8204
tempmin,20.3118428571429,20.5197285714286,23.41905,21.7337714285714,19.8398,20.542,17.2212285714286,20.0733142857143,17.7435857142857,18.5616857142857,17.6345571428571,16.5671428571429,15.2977571428571,14.8415,15.5582714285714,18.5302,13.7349285714286,15.4366714285714,11.2144285714286,12.9890285714286,12.3578714285714,15.2370571428571,14.3357285714286,14.0173857142857,10.8212857142857,12.9068571428571,14.8694857142857,15.222,12.7949142857143,12.0501857142857,15.4017714285714,13.875,15.695652173913,12.0,14.6,19.125,15.2692307692308,13.7142857142857,17.2857142857143,16.5714285714286,18.9565217391304,21.75,24.0,23.5714285714286,22.5294117647059,18.7272727272727,22.7777777777778,24.7142857142857,24.0,24.8571428571429,24.4285714285714,20.2857142857143,19.4285714285714
umidmax,90.2204,87.4656857142857,92.6563333333333,89.6248428571429,89.51645,91.3015571428571,92.1706857142857,96.4911428571429,90.4516571428571,91.7509,91.6964,87.3855285714286,92.4257857142857,91.9410428571429,93.9569142857143,94.3009428571429,92.9388428571429,94.2210714285714,92.4709857142857,90.8605428571429,90.8440142857143,93.2364142857143,94.4260428571429,92.5445714285714,91.2973571428572,94.8947142857143,94.4813857142857,90.3088285714286,92.8775857142857,89.9239285714286,92.1865428571429,92.401263,97.6069292173913,94.3615415789474,94.3604013333333,94.84264475,96.7149884615385,93.8526957142857,93.964072,93.094202,88.0890284347826,91.9307875833333,90.0315375,91.1838564285714,86.7190882352941,94.2634195454545,85.9382597777778,74.8175768571429,88.4943342857143,81.1892472857143,79.86877,86.8938195714286,94.8517742857143
receptivo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
transmissao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nivel_inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umidmed,78.0788714285714,73.1811285714286,79.64695,76.3680142857143,80.4503,81.1846857142857,71.8506571428571,90.5672142857143,77.4575,83.2019,80.6756285714286,78.8760285714286,81.9716,79.8683571428571,87.2646,85.2784142857143,81.2574285714286,87.3849142857143,76.5515142857143,76.5317571428571,74.5123,78.6983857142857,84.1984,83.2651285714286,79.5835285714286,87.1336285714286,86.7180285714286,79.7067285714286,84.8892,82.5504285714286,77.8983714285714,89.12533525,84.225142173913,83.0109277894737,89.818026,93.022592375,76.8502429230769,71.8078585714286,71.9851208571429,72.4154744285714,76.9286836521739,77.116741,87.24508125,89.755615,84.6427567058823,77.6589684545455,84.5537757777778,74.8175768571429,80.9038507142857,81.1892472857143,79.86877,66.4495465714286,65.3131172857143
umidmin,64.2381857142857,57.3904428571429,62.5053,57.9606714285714,69.2921333333333,67.9961714285714,49.7573285714286,81.9694571428571,63.3192428571429,71.6124285714286,66.8372142857143,69.1661571428571,68.0836285714286,63.8337857142857,78.2623428571429,72.6896,63.6758142857143,79.0519857142857,52.5014857142857,56.3939285714286,49.4396428571429,59.2091,65.2623142857143,67.7788714285714,58.5902714285714,74.6062428571429,71.5471571428571,64.4245571428571,70.0862571428571,71.7815571428571,55.0988714285714,85.88225125,68.2594165217391,69.7252610526316,84.0810183333333,91.9501955,53.4067908846154,47.9621347142857,50.5066754285714,54.2802264285714,66.399981826087,62.816179,84.72497625,88.0669414285714,82.5910630588235,60.3537446363636,83.1692933333333,74.8175768571429,73.9255085714286,81.1892472857143,79.86877,48.227134,43.3693377142857
tempmed,22.7773142857143,23.4644857142857,26.3830333333333,25.0805142857143,21.7192166666667,23.1373142857143,21.2035857142857,21.6310142857143,20.5562142857143,20.2034714285714,20.0649714285714,18.6033857142857,17.3651142857143,17.1386714285714,17.2532142857143,21.113,17.3989285714286,16.9627714285714,15.3338142857143,16.2778142857143,16.5759,17.9093,17.4775142857143,16.3306142857143,14.0520285714286,14.7279285714286,17.1200285714286,17.8302,15.0685,13.6218571428571,19.0110857142857,14.3125,19.7236839130435,15.7503611578947,16.3157894,19.375,20.3552633076923,18.8571424285714,22.962406,21.6165415714286,21.4980931304348,25.6030701666667,24.35416675,23.904762,22.9411764705882,22.4114831818182,23.1111111111111,24.7142857142857,25.5864661428571,24.8571428571429,24.4285714285714,25.819549,25.691729
tempmax,26.1059714285714,27.1896285714286,30.5752,30.0723285714286,24.07635,26.9137428571429,25.9705,23.4753714285714,24.4507857142857,22.4770857142857,23.4853142857143,21.2717428571429,20.09,20.6591857142857,18.8749714285714,24.9830714285714,22.3874714285714,18.9793285714286,20.8715571428571,21.0981285714286,22.6360428571429,21.6715,22.5501714285714,19.7313714285714,18.8164714285714,17.2399857142857,20.8008714285714,21.5212285714286,18.8508142857143,15.7703714285714,24.4080142857143,14.875,23.4347826086957,19.0,17.8,19.5,25.1923076923077,23.5714285714286,28.4285714285714,25.7142857142857,23.5652173913043,29.3333333333333,24.75,24.2857142857143,23.3529411764706,26.2727272727273,23.4444444444444,24.7142857142857,27.0,24.8571428571429,24.4285714285714,30.7142857142857,30.7142857142857
casprov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
casprov_est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notif_accum_year,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
